Estado creación,F. operación,Fecha valor,F. liquidación,Contrato,ISIN,Sentido,Cantidad,Precio,Tipo de cambio,Efectivo final,Efectivo final (divisa cartera),Efectivo final + retención (divisa cartera),Cartera,Ticket,Divisa,Mercado de acciones,Producto,Naturaleza,Precio con cupón,Importe final,Intereses,Brokerage,Com. agencia + IVA,Comisión ext. + IVA,Com.agn. (divisa cartera) + IVA,Com.ext. (divisa cartera) + IVA,Retención,Retención (divisa cartera)
Creación,15/02/2023,15/02/2023,15/02/2023,STONEHENGE 20-STONEHENGE 20,STONEHENGE 20,Compra,380000,1,1,-380000,-380000,-380000,1142.02-BALDOMERO PE PRE-MDF,5-230307x08,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,28/03/2023,28/03/2023,28/03/2023,TITAN II A 22-TITAN INVERSIONES EN INFRAESTRUCTURAS II CLASE A,TITAN II A 22,Compra,360000,1,1,-360000,-360000,-360000,1142.02-BALDOMERO PE PRE-MDF,5-240903x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,29/03/2023,29/03/2023,24/03/2023,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,8889,"3,24380808",1,"-28834,21","-28834,21","-28834,21",1142.02-BALDOMERO PE PRE-MDF,5-230322x10,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,19/06/2023,19/06/2023,14/06/2023,HELIA III 19-HELIA III 19,HELIA III 19,Compra,586675,1,1,-586675,-586675,-586675,1142.02-BALDOMERO PE PRE-MDF,5-230614x03,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,28/06/2023,28/06/2023,23/06/2023,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,0,1,"-20164,38","-20164,38","-20164,38",1142.02-BALDOMERO PE PRE-MDF,5-230615x03,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,07/08/2023,07/08/2023,07/08/2023,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Venta,220328,"1,4322117",1,"315556,34","315556,34","315556,34",1142.02-BALDOMERO PE PRE-MDF,5-230817x16,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,07/08/2023,07/08/2023,07/08/2023,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Venta,0,"32906,77",1,"32906,77","32906,77","32906,77",1142.02-BALDOMERO PE PRE-MDF,5-230913x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,13/11/2023,13/11/2023,08/11/2023,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,355077,1,1,-355077,-355077,-355077,1142.02-BALDOMERO PE PRE-MDF,5-231027x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,15/12/2023,15/12/2023,12/12/2023,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,152148,"1,130732642",1,"-172038,71","-172038,71","-172038,71",1142.02-BALDOMERO PE PRE-MDF,5-231130x25,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,15/12/2023,15/12/2023,12/12/2023,STONEHENGE 20-STONEHENGE 20,STONEHENGE 20,Compra,325600,1,1,-325600,-325600,-325600,1142.02-BALDOMERO PE PRE-MDF,5-231220x02,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,19/01/2024,19/01/2024,19/01/2024,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,566801,1,1,-566801,-566801,-566801,1142.02-BALDOMERO PE PRE-MDF,5-240123x04,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,27/02/2024,27/02/2024,22/02/2024,STONEHENGE 20-STONEHENGE 20,STONEHENGE 20,Compra,427800,1,1,-427800,-427800,-427800,1142.02-BALDOMERO PE PRE-MDF,5-240222x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,06/03/2024,06/03/2024,01/03/2024,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,178282,"1,111568807",1,"-198172,71","-198172,71","-198172,71",1142.02-BALDOMERO PE PRE-MDF,5-240320x05,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,24/05/2024,24/05/2024,24/05/2024,TITAN II A 22-TITAN INVERSIONES EN INFRAESTRUCTURAS II CLASE A,TITAN II A 22,Compra,240000,1,1,-240000,-240000,-240000,1142.02-BALDOMERO PE PRE-MDF,5-240903x02,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,25/06/2024,25/06/2024,20/06/2024,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,"20109,29",1,"-20109,29","-20109,29","-20109,29",1142.02-BALDOMERO PE PRE-MDF,5-240705x04,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,11/09/2024,11/09/2024,06/09/2024,GREEN TRANS 22-GREEN TRANS 22,GREEN TRANS 22,Compra,0,105000,1,-105000,-105000,-105000,1142.02-BALDOMERO PE PRE-MDF,5-240826x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,25/09/2024,25/09/2024,20/09/2024,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,243896,"1,082450266",1,"-264005,29","-264005,29","-264005,29",1142.02-BALDOMERO PE PRE-MDF,5-240919x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,06/11/2024,06/11/2024,06/11/2024,TITAN II A 22-TITAN INVERSIONES EN INFRAESTRUCTURAS II CLASE A,TITAN II A 22,Compra,260000,1,1,-260000,-260000,-260000,1142.02-BALDOMERO PE PRE-MDF,5-241205x11,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,23/12/2024,23/12/2024,18/12/2024,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,"19726,03",1,"-19726,03","-19726,03","-19726,03",1142.02-BALDOMERO PE PRE-MDF,5-250102x10,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,16/01/2025,16/01/2025,16/01/2025,GREEN TRANS 22-GREEN TRANS 22,GREEN TRANS 22,Compra,0,120000,1,-120000,-120000,-120000,1142.02-BALDOMERO PE PRE-MDF,5-250121x11,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,19/03/2025,19/03/2025,19/03/2025,TITAN II A 22-TITAN INVERSIONES EN INFRAESTRUCTURAS II CLASE A,TITAN II A 22,Compra,160000,1,1,-160000,-160000,-160000,1142.02-BALDOMERO PE PRE-MDF,5-260120x01,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,26/03/2025,26/03/2025,26/03/2025,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,12444,"2,521519608",1,"-31377,79","-31377,79","-31377,79",1142.02-BALDOMERO PE PRE-MDF,5-250331x02,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
